定_;日本_;英_;;;;
TVPVersionInformation;吉里吉里[きりきり] Z _行コア/%1 (Compiled on %DATE% %TIME%) TJS2/%2 Copyright (C) 1997-2013 W.Dee and contributors All rights reserved.;Kirikiri Z Executable core /%1 (Compiled on %DATE% %TIME%) TJS2/%2 Copyright (C) 1997-2013 W.Dee and contributors All rights reserved.;;;;
TVPVersionInformation2;バ_ジョン情_の__は -about を付けて起_すると__できます;The details of version information can be perused if -about is attached and started. ;;;;
TVPDownloadPageURL;http://krkrz.github.io/;http://krkrz.github.io/;;;;
TVPInternalError;内部エラ_が_生しました: at %1 line %2;Internal Error: at %1 line %2;;;;
TVPInvalidParam;不正なパラメ_タです;Invalid Parameter;;;;
TVPWarnDebugOptionEnabled;-debug オプションが指定されているため,_在 吉里吉里はデバッグモ_ドで_作しています。デバッグモ_ドでは十分な_行速度が出ない_合があるので注意してください;Debug option enabled;;;;
TVPCommandLineParamIgnoredAndDefaultUsed;コマンドラインパラメ_タ %1 に指定された_ %2 は__のためデフォルトの_定を用います;Command line parameter %1 = %2 is invalid. It's used default.;;;;
TVPInvalidCommandLineParam;コマンドラインパラメ_タ %1 に指定された_ %2 は__です;Command line parameter %1 = %2 is invalid.;;;;
TVPNotImplemented;未_装の_能を呼び出そうとしました;Not implemented;;;;
TVPCannotOpenStorage;ストレ_ジ %1 を_くことができません;Cannot open storage %1;;;;
TVPCannotFindStorage;ストレ_ジ %1 が_つかりません;Cannot find storage %1;;;;
TVPCannotOpenStorageForWrite;ストレ_ジ %1 を_き_み用に_くことができません。ファイルが_き_み禁止になっていないか、あるいはファイルに_き_み_限があるかどうか、あるいはそもそもそれが_き_み可能なメディアやファイルなのかを__してください;Cannot open storage %1 for writing;;;;
TVPStorageInArchiveNotFound;ストレ_ジ %1 がア_カイブ %2 の中に_つかりません;Cannot find storage %1 in archive %2;;;;
TVPInvalidPathName;パス名 %1 は__な形式です。形式が正しいかどうかを__してください;Invalid path name %1;;;;
TVPUnsupportedMediaName;"\""%1\"" は__していないメディアタイプです";"Not supported media type \""%1\""";;;;
TVPCannotUnbindXP3EXE;%1 は_行可能ファイルに_えますが、これに_合されたア_カイブを__できませんでした;Cannot unbind XP3 exe %1;;;;
TVPCannotFindXP3Mark;%1 は XP3 ア_カイブではないか、__できない形式です。ア_カイブファイルを指定すべき_面で通常のファイルを指定した_合、あるいは__できないア_カイブファイルを指定した_合などにこのエラ_が_生しますので、__してください;%1 is not XP3 archive or unsupported;;;;
TVPMissingPathDelimiterAtLast;パス名の最後には '>' または '/' を指定してください (吉里吉里２ 2.19 beta 14 よりア_カイブの区切り_号が '#' から '>' に_わりました);Use path delimiter '>' or '/';;;;
TVPFilenameContainsSharpWarn;"(注意) '#' がファイル名 \""%1\"" に含まれています。ア_カイブの区切り文字は吉里吉里２ 2.19 beta 14 より'#' から '>' に_わりました。もしア_カイブの区切り文字のつもりで '#' を使用した_合は、お手数ですが '>' に_えてください";"(Attention) Filename \""%1\"" contains '#'";;;;
TVPCannotGetLocalName;ストレ_ジ名 %1 をロ_カルファイル名に__できません。ア_カイブファイル内のファイルや、ロ_カルファイルでないファイルはロ_カルファイル名に__できません。;Cannot get local name from %1;;;;
TVPReadError;_み_みエラ_です。ファイルが破_している可能性や、デバイスからの_み_みに失_した可能性があります;Read error;;;;
TVPWriteError;_き_みエラ_です;Write error;;;;
TVPSeekError;シ_クに失_しました。ファイルが破_している可能性や、デバイスからの_み_みに失_した可能性があります;Seek error;;;;
TVPTruncateError;ファイルの_さを切り_めるのに失_しました;Truncate error;;;;
TVPInsufficientMemory;メモリ_保に失_しました。;Cannot allocate memory;;;;
TVPUncompressionFailed;ファイルの展_に失_しました。未__の__形式が指定されたか、あるいはファイルが破_している可能性があります;Unpompression failed;;;;
TVPCompressionFailed;ファイルの__に失_しました;Compression failed;;;;
TVPCannotWriteToArchive;ア_カイブにデ_タを_き_むことはできません;Cannot write to archive;;;;
TVPUnsupportedCipherMode;%1 は未__の暗号化形式か、デ_タが破_しています;%1 is unsupported cipger mode;;;;
TVPUnsupportedEncoding;%1 は未__のエンコ_ド方式です。;%1 is unsupported encoding;;;;
TVPUnsupportedModeString;__できないモ_ド文字列の指定です(%1);%1 is unsupported mode string;;;;
TVPUnknownGraphicFormat;%1 は未知の画像形式です;Unknown graphic format %1;;;;
TVPCannotSuggestGraphicExtension;%1 について_切な__子を持ったファイルを_つけられませんでした;Cannot suggest graphics extension for %1;;;;
TVPMaskSizeMismatch;マスク画像のサイズがメイン画像のサイズと_います;Mask size mismath;;;;
TVPProvinceSizeMismatch;_域画像 %1 はメイン画像とサイズが_います;Province image %1 size mismatch;;;;
TVPImageLoadError;画像_み_み中にエラ_が_生しました/%1;Image Load Error /%1;;;;
TVPJPEGLoadError;JPEG _み_み中にエラ_が_生しました/%1;JPEG Read Error /%1;;;;
TVPPNGLoadError;PNG _み_み中にエラ_が_生しました/%1;PNG Read Error /%1;;;;
TVPERILoadError;ERI _み_み中にエラ_が_生しました/%1;ERI Read Error /%1;;;;
TVPTLGLoadError;TLG _み_み中にエラ_が_生しました/%1;TLG Read Error /%1;;;;
TVPInvalidImageSaveType;__な保存画像形式です(%1);Invalid image save type (%1);;;;
TVPInvalidOperationFor8BPP;8bpp 画像に_しては行えない操作を行おうとしました;Invalid operation for 8bpp;;;;
TVPInvalidOperationFor32BPP;32bpp 画像に_しては行えない操作を行おうとしました;Invalid operation for 32bpp;;;;
TVPSpecifyWindow;Window クラスのオブジェクトを指定してください;Specify Window class object;;;;
TVPSpecifyLayer;Layer クラスのオブジェクトを指定してください;Specify Layer class object;;;;
TVPSpecifyLayerOrBitmap;Layer クラスか Bitmap クラスのオブジェクトを指定してください;Specify Layer or Bitmap class object;;;;
TVPCannotAcceptModeAuto;この操作で mode に omAuto を指定することは出来ません;Cannot accept omAuto mode;;;;
TVPCannotCreateEmptyLayerImage;画像サイズの横幅あるいは_幅を 0 以下の数に_定することはできません;Cannot create empty layer image;;;;
TVPCannotSetPrimaryInvisible;プライマリレイヤは不可_にできません;Cannot set primary layer invisible;;;;
TVPCannotMovePrimary;プライマリレイヤは移_できません;Cannot move primary layer;;;;
TVPCannotSetParentSelf;自分自身を_とすることはできません;Cannot set parent self;;;;
TVPCannotMoveNextToSelfOrNotSiblings;自分自身の前後や_の_なるレイヤの前後に移_することはできません;Cannot move next to self or not siblings;;;;
