定_;日本_;英_;オプション;;;
TJSInternalError;内部エラ_が_生しました;Internal error;;;;
TJSWarning;警告: ;Warning: ;;;;
TJSWarnEvalOperator;グロ_バルでない_所で後置 ! 演算子が使われています(この演算子の__はTJS2 version 2.4.1 で_わりましたのでご注意ください);Non-global post-! operator is used (note that the post-! operator behavior is changed on TJS2 version 2.4.1);;;;
TJSNarrowToWideConversionError;文字列を UNICODE 文字列に__できません。解_できない文字が含まれてます。正しいデ_タが指定されているかを__してください。デ_タが破_している可能性もあります;Cannot convert given narrow string to wide string;;;;
TJSVariantConvertError;%1 から %2 へ型を__できません;Cannot convert the variable type (%1 to %2);;;;
TJSVariantConvertErrorToObject;%1 から Object へ型を__できません。Object 型が要求される文_で Object 型以外の_が渡されるとこのエラ_が_生します;Cannot convert the variable type (%1 to Object);;;;
TJSIDExpected;__子を指定してください;Specify an ID;;;;
TJSSubstitutionInBooleanContext;_理_が求められている_所で = 演算子が使用されています(== 演算子の__いですか？代入した上でゼロと_を比_したい_合は、(A=B) != 0 の形式を使うことをお_めします);Substitution in boolean context (use form of '(A=B)!=0' to compare to zero);;;;
TJSCannotModifyLHS;不正な代入か不正な式の操作です;This expression cannot be used as a lvalue;;;;
TJSInsufficientMem;メモリが足りません;Insufficient memory;;;;
TJSCannotGetResult;この式からは_を得ることができません;Cannot get the value of this expression;;;;
TJSNullAccess;null オブジェクトにアクセスしようとしました;Accessing to null object;;;;
TJSMemberNotFound;"メンバ \""%1\"" が_つかりません";"Member \""%1\"" does not exist";;;;
TJSMemberNotFoundNoNameGiven;メンバが_つかりません;Member does not exist;;;;
TJSNotImplemented;呼び出そうとした_能は未_装です;Called method is not implemented;;;;
TJSInvalidParam;不正な引数です;Invalid argument;;;;
TJSBadParamCount;引数の数が不正です;Invalid argument count;;;;
TJSInvalidType;_数ではないかプロパティの__が_います;Not a function or invalid method/property type;;;;
TJSSpecifyDicOrArray;Dictionary または Array クラスのオブジェクトを指定してください;Specify a Dictionary object or an Array object;;;;
TJSSpecifyArray;Array クラスのオブジェクトを指定してください;Specify an Array object;;;;
TJSStringDeallocError;文字列メモリブロックを解放できません;Cannot free the string memory block;;;;
TJSStringAllocError;文字列メモリブロックを_保できません;Cannot allocate the string memory block;;;;
TJSMisplacedBreakContinue;"\""break\"" または \""continue\"" はここに_くことはできません";"Cannot place \""break\"" or \""continue\"" here";;;;
TJSMisplacedCase;"\""case\"" はここに_くことはできません";"Cannot place \""case\"" here";;;;
TJSMisplacedReturn;"\""return\"" はここに_くことはできません";"Cannot place \""return\"" here";;;;
TJSStringParseError;文字列定数/正_表_/オクテット即_が_わらないままスクリプトの_端に_しました;Un-terminated string/regexp/octet literal;;;;
TJSNumberError;数_として解_できません;Cannot be parsed as a number;;;;
TJSUnclosedComment;コメントが_わらないままスクリプトの_端に_しました;Un-terminated comment;;;;
TJSInvalidChar;不正な文字です : \'%1\';Invalid character \'%1\';;;;
TJSExpected;%1 がありません;Expected %1;;;;
TJSSyntaxError;文法エラ_です(%1);Syntax error (%1);;;;
TJSPPError;条件コンパイル式にエラ_があります;Error in conditional compiling expression;;;;
TJSCannotGetSuper;ス_パ_クラスが存在しないかス_パ_クラスを特定できません;Super class does not exist or cannot specify the super class;;;;
TJSInvalidOpecode;不正な VM コ_ドです;Invalid VM code;;;;
TJSRangeError;_が__外です;The value is out of the range;;;;
TJSAccessDenyed;_み_み_用あるいは_き_み_用プロパティに_して行えない操作をしようとしました;Invalid operation for Read-only or Write-only property;;;;
TJSNativeClassCrash;_行コンテキストが_います;Invalid object context;;;;
TJSInvalidObject;オブジェクトはすでに__化されています;The object is already invalidated;;;;
TJSCannotOmit;"\""...\"" は_数外では使えません";"\""...\"" is used out of functions";;;;
TJSCannotParseDate;不正な日付文字列の形式です;Invalid date format;;;;
TJSInvalidValueForTimestamp;不正な日付__刻です;Invalid value for date/time;;;;
TJSExceptionNotFound;"\""Exception\"" が存在しないため例外オブジェクトを作成できません";"Cannot convert exception because \""Exception\"" does not exist";;;;
TJSInvalidFormatString;不正な_式文字列です;Invalid format string;;;;
TJSDivideByZero;0 で除算をしようとしました;Division by zero;;;;
TJSNotReconstructiveRandomizeData;乱数系列を初期化できません(おそらく不正なデ_タが渡されました);Cannot reconstruct random seeds;;;;
TJSSymbol;__子;ID;;;;
TJSCallHistoryIsFromOutOfTJS2Script;[TJSスクリプト管理外];[out of TJS2 script];;;;
TJSNObjectsWasNotFreed;合_ %1 _のオブジェクトが解放されていません;Total %1 Object(s) was not freed;;;;
TJSObjectCreationHistoryDelimiter;\n                     ; <-- ;;;;
TJSObjectWasNotFreed;オブジェクト %1 [%2] が解放されていません。オブジェクト作成_の呼び出し履_は以下の通りです:\n                     %3;Object %1 [%2] wes not freed / The object was created at : %2;;;;
TJSGroupByObjectTypeAndHistory;オブジェクトのタイプとオブジェクト作成_の履_による分_;Group by object type and location where the object was created;;;;
TJSGroupByObjectType;オブジェクトのタイプによる分_;Group by object type;;;;
TJSObjectCountingMessageGroupByObjectTypeAndHistory;%1 _ : [%2]\n                     %3;%1 time(s) : [%2] %3;;;;
TJSObjectCountingMessageTJSGroupByObjectType;%1 _ : [%2];%1 time(s) : [%2];;;;
TJSWarnRunningCodeOnDeletingObject;%4: 削除中のオブジェクト %1[%2] 上でコ_ドが_行されています。このオブジェクトの作成_の呼び出し履_は以下の通りです:\n                     %3;%4: Running code on deleting-in-progress object %1[%2] / The object was created at : %3;;;;
TJSWriteError;_き_みエラ_が_生しました;Write error;;;;
TJSReadError;_み_みエラ_が_生しました。ファイルが破_している可能性や、デバイスからの_み_みに失_した可能性があります;Read error;;;;
TJSSeekError;シ_クエラ_が_生しました。ファイルが破_している可能性や、デバイスからの_み_みに失_した可能性があります;Seek error;;;;
TJSByteCodeBroken;バイトコ_ドファイル_み_みエラ_。ファイルが_れているかバイトコ_ドとは_なるファイルです;Bytecode read error. File is broken or it's not bytecode file.;;;;
TJSObjectHashMapLogVersionMismatch;Object Hash Map ログのバ_ジョンが一致しません;Object Hash Map log version mismatch;;;;
TJSCurruptedObjectHashMapLog;不正な Object Hash Map ログ;Currupted Object Hash Map log;;;;
TJSUnknownFailure;未知のエラ_ %08X;Unknown failure : %08X;;;;
TJSUnknownPackUnpackTemplateCharcter;不明な pack/unpack TEMPLATE 文字です;Unknown pack/unpack TEMPLATE charcter;;;;
TJSUnknownBitStringCharacter;不明な bit string 文字です;Unknown bit string charcter;;;;
TJSUnknownHexStringCharacter;不明な16_数文字です;Unknown Hex string charcter;;;;
TJSNotSupportedUuencode;uuencode はサポ_トしていません;Not supported uuencode;;;;
TJSNotSupportedBER;BER__はサポ_トしていません;Not supported BER;;;;
TJSNotSupportedUnpackLP;\'p\' unpack はサポ_トしていません;Not supported unpack \'p\';;;;
TJSNotSupportedUnpackP;\'P\' unpack はサポ_トしていません;Not supported unpack \'P\';;;;
